x,y,z,t,mu,alpha
-132.7491,-17.5363,304.4283,374.0000,-0.0000,10.1674
-122.4843,-17.1765,303.8864,375.0000,-0.0000,10.1674
-112.8746,-16.8396,304.8078,376.0000,-0.0000,10.1674
-104.2889,-16.5387,304.9886,377.0000,-0.0000,10.1674
-95.3411,-16.2250,303.6786,378.0000,-0.0000,10.1674
-85.2884,-15.8726,302.7463,379.0000,-0.0000,10.1674
-75.4042,-15.5261,303.3665,380.0000,-0.0000,10.1674
-66.5791,-15.2167,303.8759,381.0000,-0.0000,10.1674
-57.7990,-14.9089,302.9449,382.0000,-0.0000,10.1674
-48.0217,-14.5662,301.8019,383.0000,-0.0000,10.1674
-37.9872,-14.2144,302.0475,384.0000,-0.0000,10.1674
-28.8823,-13.8953,302.7295,385.0000,-0.0000,10.1674
-20.1570,-13.5894,302.2155,386.0000,-0.0000,10.1674
-10.6615,-13.2565,301.0417,387.0000,-0.0000,10.1674
-0.6046,-12.9040,300.9114,388.0000,-0.0000,10.1674
8.7754,-12.5752,301.6088,389.0000,-0.0000,10.1674
17.5444,-12.2678,301.4820,390.0000,-0.0000,10.1674
26.7943,-11.9435,300.4203,391.0000,-0.0000,10.1674
36.7643,-11.5940,299.9617,392.0000,-0.0000,10.1674
46.3746,-11.2571,300.5278,393.0000,-0.0000,10.1674
55.2635,-10.9455,300.6958,394.0000,-0.0000,10.1674
64.3320,-10.6276,299.8314,395.0000,-0.0000,10.1674
74.1414,-10.2837,299.1199,396.0000,-0.0000,10.1674
83.9111,-9.9413,299.4398,397.0000,-0.0000,10.1674
92.9715,-9.6236,299.7775,398.0000,-0.0000,10.1674
101.9382,-9.3093,299.1492,399.0000,-0.0000,10.1674
111.5551,-8.9722,298.2866,400.0000,-0.0000,10.1674
121.4015,-8.6270,298.3083,401.0000,-0.0000,10.1674
130.6550,-8.3026,298.6959,402.0000,0.0000,10.1674
139.5992,-7.9891,298.3127,403.0000,0.0000,10.1674
149.0278,-7.6586,297.4149,404.0000,0.0000,10.1674
158.8694,-7.3136,297.1500,405.0000,0.0000,10.1674
168.3058,-6.9828,297.4872,406.0000,0.0000,10.1674
177.2953,-6.6677,297.3273,407.0000,0.0000,10.1674
186.5661,-6.3427,296.4968,408.0000,-0.0000,10.1674
196.3364,-6.0002,295.9997,409.0000,0.0000,10.1674
205.9196,-5.6642,296.2098,410.0000,0.0000,10.1674
215.0042,-5.3458,296.2225,411.0000,0.0000,10.1674
224.1644,-5.0247,295.5310,412.0000,0.0000,10.1674
233.8205,-4.6862,294.8785,413.0000,-0.0000,10.1674
243.4983,-4.3469,294.9137,414.0000,0.0000,10.1674
252.7070,-4.0241,295.0296,415.0000,-0.0000,10.1674
261.8104,-3.7050,294.5133,416.0000,0.0000,10.1674
271.3353,-3.3711,293.7890,417.0000,0.0000,10.1674
281.0500,-3.0305,293.6336,418.0000,0.0000,10.1674
290.3899,-2.7031,293.7781,419.0000,0.0000,10.1674
299.4888,-2.3841,293.4403,420.0000,0.0000,10.1674
308.8885,-2.0546,292.7213,421.0000,0.0000,10.1674
318.5870,-1.7147,292.3895,422.0000,0.0000,10.1674
328.0456,-1.3831,292.4950,423.0000,0.0000,10.1674
337.1838,-1.0627,292.3121,424.0000,-0.0000,10.1674
346.4815,-0.7368,291.6601,425.0000,-0.0000,10.1674
356.1228,-0.3988,291.1890,426.0000,-0.0000,10.1674
364.5939,3.8813,290.3865,427.0000,-45.0000,11.6694
366.9683,13.8114,289.2819,428.0000,-40.4043,11.3032
363.3093,23.6395,289.8991,429.0000,-16.0258,10.3140
358.3137,30.9938,291.2031,430.0000,-8.2424,10.2052
352.9971,37.2643,290.5089,431.0000,-4.1909,10.1771
346.4832,44.1265,288.6057,432.0000,-2.3180,10.1704
339.0126,51.4971,288.4036,433.0000,-1.0515,10.1680
332.2481,57.9695,289.6587,434.0000,-0.4891,10.1675
326.2036,63.6772,289.5715,435.0000,-0.2494,10.1674
319.5973,69.8747,287.8553,436.0000,-0.1377,10.1674
312.0476,76.9296,287.0702,437.0000,-0.0686,10.1674
304.9060,83.5902,288.0698,438.0000,-0.0292,10.1674
